Region,Level,Gap_2000,Gap_2020,Convergence_Score
South Asia,tertiary,-10.26269054412839,-11.487998962402397,-1.2253084182740075
"Middle East, North Africa, Afghanistan & Pakistan",tertiary,-5.927640914916999,-11.402219772338896,-5.474578857421896
East Asia & Pacific,tertiary,-2.9274101257324006,12.944469451904304,-10.017059326171903
Latin America & Caribbean,tertiary,4.333410263061602,15.161251068115206,-10.827840805053604
Sub-Saharan Africa,tertiary,-15.09978055953976,-30.509498596191406,-15.409718036651647
South Asia,secondary,-11.963470458984403,0.5013275146485086,11.462142944335895
Sub-Saharan Africa,secondary,-34.036251068115305,-31.802059173583892,2.2341918945314134
Latin America & Caribbean,secondary,19.908267974853494,20.6103973388672,-0.7021293640137074
"Middle East, North Africa, Afghanistan & Pakistan",secondary,-9.257472991943402,-15.780059814453097,-6.522586822509695
East Asia & Pacific,secondary,2.671848297119098,13.392219543457102,-10.720371246338004
Sub-Saharan Africa,primary,-19.646064758300795,-1.7249221801757955,17.921142578125
East Asia & Pacific,primary,11.104156494140994,0.4291000366212927,10.675056457519702
Latin America & Caribbean,primary,16.553283691405994,6.247444152832301,10.305839538573693
"Middle East, North Africa, Afghanistan & Pakistan",primary,-17.483856201171903,-7.423332214355497,10.060523986816406
South Asia,primary,-0.5042114257811932,3.6480941772462927,-3.1438827514650995
